id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,year,month,quartile,day,day_of_week,bedrooms_flag,bathrooms_flag,waterfront_flag,view_flag,sqft_basement_flag,yr_renovated_flag,day_of_week_flag,house_age,yr_since_renovation,basement_ratio,living_lot_ratio,price_per_sqft,sqft_living_diff,sqft_lot_diff,above_ratio,total_rooms,bath_bed_ratio,overall_quality,luxury_score,grade_sqft_living,waterfront_view_interaction,rooms_per_floor
7129300520,2014-10-13,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,2014,10,4,13,0,1,1,0,0,0,0,0,59,,0.0,0.21,188.05,160,0,1.0,4.0,0.33,21,7,8260,0,4.0
6414100192,2014-12-09,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,2014,12,4,9,1,1,1,0,0,1,1,1,63,23.0,0.16,0.35,209.34,880,397,0.84,5.25,0.75,21,7,17990,0,2.62
5631500400,2015-02-25,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,2015,2,1,25,2,1,1,0,0,0,0,1,82,,0.0,0.08,233.77,1950,1938,1.0,3.0,0.5,18,6,4620,0,3.0
2487200875,2014-12-09,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,2014,12,4,9,1,1,1,0,0,1,0,1,49,,0.46,0.39,308.16,600,0,0.54,7.0,0.75,35,7,13720,0,7.0
1954400510,2015-02-18,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,2015,2,1,18,2,1,1,0,0,0,0,1,28,,0.0,0.21,303.57,120,577,1.0,5.0,0.67,24,8,13440,0,5.0
7237550310,2014-05-12,1225000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,2014,5,2,12,0,1,1,0,0,1,0,0,13,,0.28,0.05,226.01,660,0,0.72,8.5,1.12,33,11,59620,0,8.5
1321400060,2014-06-27,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,2014,6,2,27,4,1,1,0,0,0,0,1,19,,0.0,0.25,150.15,523,0,1.0,5.25,0.75,21,7,12005,0,2.62
2008000270,2015-01-15,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,2015,1,1,15,3,1,1,0,0,0,0,1,52,,0.0,0.11,275.33,590,0,1.0,4.5,0.5,21,7,7420,0,4.5
2414600126,2015-04-15,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,2015,4,2,15,2,1,1,0,0,1,0,1,55,,0.41,0.24,128.93,0,643,0.59,4.0,0.33,21,7,12460,0,4.0
3793500160,2015-03-12,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,2015,3,1,12,3,1,1,0,0,0,0,1,12,,0.0,0.29,170.9,500,1010,1.0,5.5,0.83,21,7,13230,0,2.75
