id,yr_sale,m_sale,qr_sale,season_sold,price,price_tier,price_per_sqft,bedrooms,bathrooms,total_bed_bath,bath_per_bed,sqft_living,sqft_lot,lot_size_acres,floors,multi_story,waterfront,view_flag,condition,grade,has_basement,yr_built,house_age_yrs,was_renovated,yrs_since_renovation,pct_size_vs_neighbors,zipcode,lat,long
7129300520,2014,10,4,Fall,221900,Entry,188,3,1,4,0.33,1180,5650,0.13,1,No,No,No,3,7,No,1955,59,No,59,-11.9,98178,47.5112,-122.257
6414100192,2014,12,4,Winter,538000,Mid,209,3,2.25,5.25,0.75,2570,7242,0.17,2,Yes,No,No,3,7,Yes,1951,63,Yes,23,52.1,98125,47.721,-122.319
5631500400,2015,2,1,Winter,180000,Entry,234,2,1,3,0.5,770,10000,0.23,1,No,No,No,3,6,No,1933,82,No,82,-71.7,98028,47.7379,-122.233
2487200875,2014,12,4,Winter,604000,Upper,308,4,3,7,0.75,1960,5000,0.11,1,No,No,No,5,7,Yes,1965,49,No,49,44.1,98136,47.5208,-122.393
1954400510,2015,2,1,Winter,510000,Mid,304,3,2,5,0.67,1680,8080,0.19,1,No,No,No,3,8,No,1987,28,No,28,-6.7,98074,47.6168,-122.045
7237550310,2014,5,2,Spring,1225000,Luxury,226,4,4.5,8.5,1.13,5420,101930,2.34,1,No,No,No,3,11,Yes,2001,13,No,13,13.9,98053,47.6561,-122.005
1321400060,2014,6,2,Spring,257500,Entry,150,3,2.25,5.25,0.75,1715,6819,0.16,2,Yes,No,No,3,7,No,1995,19,No,19,-23.4,98003,47.3097,-122.327
2008000270,2015,1,1,Winter,291850,Entry,275,3,1.5,4.5,0.5,1060,9711,0.22,1,No,No,No,3,7,No,1963,52,No,52,-35.8,98198,47.4095,-122.315
2414600126,2015,4,2,Spring,229500,Entry,129,3,1,4,0.33,1780,7470,0.17,1,No,No,No,3,7,Yes,1960,55,No,55,0.0,98146,47.5123,-122.337
3793500160,2015,3,1,Winter,323000,Mid,171,3,2.5,5.5,0.83,1890,6560,0.15,2,Yes,No,No,3,7,No,2003,12,No,12,-20.9,98038,47.3684,-122.031
1736800520,2015,4,2,Spring,662500,Upper,186,3,2.5,5.5,0.83,3560,9796,0.22,1,No,No,No,3,8,Yes,1965,50,No,50,61.1,98007,47.6007,-122.145
9212900260,2014,5,2,Spring,468000,Mid,403,2,1,3,0.5,1160,6000,0.14,1,No,No,No,4,7,Yes,1942,72,No,72,-12.8,98115,47.69,-122.292
0114101516,2014,5,2,Spring,310000,Mid,217,3,1,4,0.33,1430,19901,0.46,1.5,Yes,No,No,4,7,No,1927,87,No,87,-19.7,98028,47.7558,-122.229
6054650070,2014,10,4,Fall,400000,Mid,292,3,1.75,4.75,0.58,1370,9680,0.22,1,No,No,No,4,7,No,1977,37,No,37,0.0,98074,47.6127,-122.045
1175000570,2015,3,1,Winter,530000,Mid,293,5,2,7,0.4,1810,4850,0.11,1.5,Yes,No,No,3,7,No,1900,115,No,115,33.1,98107,47.67,-122.394
9297300055,2015,1,1,Winter,650000,Upper,220,4,3,7,0.75,2950,5000,0.11,2,Yes,No,Yes,3,9,Yes,1979,36,No,36,37.9,98126,47.5714,-122.375
1875500060,2014,7,3,Summer,395000,Mid,209,3,2,5,0.67,1890,14040,0.32,2,Yes,No,No,3,7,No,1994,20,No,20,0.0,98019,47.7277,-121.962
6865200140,2014,5,2,Spring,485000,Mid,303,4,1,5,0.25,1600,4300,0.1,1.5,Yes,No,No,4,7,No,1916,98,No,98,-0.6,98103,47.6648,-122.343
0016000397,2014,12,4,Winter,189000,Entry,158,2,1,3,0.5,1200,9850,0.23,1,No,No,No,4,7,No,1921,93,No,93,13.2,98002,47.3089,-122.21
7983200060,2015,4,2,Spring,230000,Entry,184,3,1,4,0.33,1250,9774,0.22,1,No,No,No,4,7,No,1969,46,No,46,-2.3,98003,47.3343,-122.306
6300500875,2014,5,2,Spring,385000,Mid,238,4,1.75,5.75,0.44,1620,4980,0.11,1,No,No,No,4,7,Yes,1947,67,No,67,15.7,98133,47.7025,-122.341
2524049179,2014,8,3,Summer,2000000,Luxury,656,3,2.75,5.75,0.92,3050,44867,1.03,1,No,No,Yes,3,9,Yes,1968,46,No,46,-25.8,98040,47.5316,-122.233
7137970340,2014,7,3,Summer,285000,Entry,126,5,2.5,7.5,0.5,2270,6300,0.14,2,Yes,No,No,3,8,No,1995,19,No,19,1.3,98092,47.3266,-122.169
8091400200,2014,5,2,Spring,252700,Entry,236,2,1.5,3.5,0.75,1070,9643,0.22,1,No,No,No,3,7,No,1985,29,No,29,-12.3,98030,47.3533,-122.166
3814700200,2014,11,4,Fall,329000,Mid,134,3,2.25,5.25,0.75,2450,6500,0.15,2,Yes,No,No,4,8,No,1985,29,No,29,11.4,98030,47.3739,-122.172
1202000200,2014,11,4,Fall,233000,Entry,136,3,2,5,0.67,1710,4697,0.11,1.5,Yes,No,No,5,6,No,1941,73,No,73,66.0,98002,47.3048,-122.218
